;;;;;;;;;;;;;;x                                          
SAF11.T;The republic of Nuweflander;;;;;;;;;;;;;x 
SAF11.D;With our control of the coast, only remains the republic of Nuweflander. The last expedition mounted against them was a disaster and cost the lives of 15000 soldiers in the process. We have to make them pay this act !;;;;;;;;;;;;;x 
SAF12.T;Annexation of Nuweflander;;;;;;;;;;;;;x 
SAF12.D;We have strengthened our rule on our old colony and it is time to integrate the state of Nuweflander directly into the Cape Colony !;;;;;;;;;;;;;x 
SAF13.T;The state of Transkaap;;;;;;;;;;;;;x 
SAF13.D;Only one Boer state is out of our control. It is time to make the Boers from Pretoria submit to our power !;;;;;;;;;;;;;x 
SAF14.T;Annexation of Transkaap;;;;;;;;;;;;;x 
SAF14.D;We have strengthened our rule on our old colony and it is time to integrate the state of Transkaap directly into the Cape Colony !;;;;;;;;;;;;;x 
SAF15.T;The Baastard state;;;;;;;;;;;;;x 
SAF15.D;The old Boer states are completely under our domination. However north of the colony stands the state of Vryland ruled by Bastaards, coloured people speaking Afrikaans. They rule over a nice portion of lands and it is our duty to civilise them ...;;;;;;;;;;;;;x 
SAF16.T;Annexation of Vryland;;;;;;;;;;;;;x 
SAF16.D;Vryland is perfectly controlled and could be integrated into the Cape Colony. However it could be in our interest to keep them as a special dominion of our empire to avoid to strengthen the power of the Duke of the Cape.;;;;;;;;;;;;;x 
TURREB.T;Defeat of the Janissaries;;;;;;;;;;;;;x 
TURREB.D;The Janissaries that had revolted against you have been defeated ! Unable to capitalize on their successful Anatolian uprising their movement has been routed and cities are each day welcoming us as their new saviours. The main leaders have been captured and beheaded, their heads thrown into the Bosporus. We have captured their arsenals and supplies to help for the war effort It is likely we won’t see another rebellion soon : most of the populations are weary and only want peace after decades of war. It is time to finish the still ongoing wars for the better or the worse and let the peoples of our empire rest at least.;;;;;;;;;;;;;x 
integrate_serbia_title;The Serbo-Croat Union;;;;;;;;;;;;;x 
integrate_serbia_desc;Serbia has entered a state of personal Union since we liberated them with our King ruling also over the Serbs. Now it is time to integrate them into our state directly to unify the South Slavic populations !;;;;;;;;;;;;;x  
freeSER_title;Liberation of Serbia;;;;;;;;;;;;;x 
freeSER_desc;Serbia is under our control. We have captured the forts along the Danube and penetrated deep into the Empire's territory. The Sultan will be forced to acknowledge our victory !;;;;;;;;;;;;;x 
1TUR.T;Illyrian vultures;;;;;;;;;;;;;x 
1TUR.D;The king of Illyria has decided to take advantage of the void in Serbia and attacked us for the control of the province. We could buy peace easily by ceding it to them.;;;;;;;;;;;;;x 
6TUR.T;Illyrian victory;;;;;;;;;;;;;x 
6TUR;D;We are forced to cede Southern Serbia to the Illyrians...;;;;;;;;;;;;;x 
7TUR.T;Hungarian Victory;;;;;;;;;;;;;x 
7TUR.D;We are forced to cede Northern Serbia to the Magyars;;;;;;;;;;;;;x 
8TUR.T;Safavid victory;;;;;;;;;;;;;x 
8TUR.D;We are forced to cede Trabzon to the Azeris...;;;;;;;;;;;;;x 
9TUR.T;Illyrian victory;;;;;;;;;;;;;x 
9TUR.D;We are forced to cede all Serbia to the Illyrians ...;;;;;;;;;;;;;x 
18TUR.T;Seizure of Dobrudja;;;;;;;;;;;;;x 
18TUR.D;The Moldavians have taken control of the Dobrudja region ! Should we try to take it back ?;;;;;;;;;;;;;x 
ROM56.T;Intervention in the Wallachian Election;;;;;;;;;;;;;x 
ROM56.D;The Wallachian principality has freely elected his sovereign vovoide since its recent independence. With our hegemony assured in the Romanian inhabited area we could step forward and try to make our hospodar elected and assure this way the swift unification of the Romanian people !;;;;;;;;;;;;;x 
ROM57.T;The Moldavian candidate;;;;;;;;;;;;;x 
ROM57.D;The Prince of Moldavia takes part in the election as a candidate. Should he be named domnitor of the two principalities or should we elect a local boyar ?;;;;;;;;;;;;;x 
ROM58.T;Wallachia elected our prince !;;;;;;;;;;;;;x 
ROM58.D;The unification of the two principalites is now complete !;;;;;;;;;;;;;x 
ROM59.T;Wallachia refused our candidacy;;;;;;;;;;;;;x 
ROM59.D;The unification is delayed because of the Wallachians;;;;;;;;;;;;;x 
EGY50.T;Zahiri victory;;;;;;;;;;;;x 
EGY50.D;Muhammad Zahiri took a risky bet on revolting but it paid off. The Empire has been forced out of our ancestral lands and we now control territories as far as the Sinai ! The Zahiri now appear like a legitimate dynasty unlike the decaying house of Osman and no one can deny the superiority of the Western technologies that helped with winning the uprising. ;;;;;;;;;;;;;x 
EGY51.T;Misri Al-Nahda;;;;;;;;;;;;;x 
EGY51.D;Glory to the house of Zahiri ! Not only have they managed to push the Turks out of Egypt but our troops have conquered one of the Holy Cities, Al-Quds. With Palestine in our hands, people in the Levant are already approaching us to liberate them from the Sultan’s yoke. This crushing victory has proven the legitimacy of the Zahiri dynasty and all opponents are now mute before the success of Sultan Muhammad. Determined to end Arab decay he has used his great popularity to introduce great reforms in the country and most European courts think of him as a potential interlocutor in the Middle-East.;;;;;;;;;;;;;x 
egypt_levant_title;Egyptian Levant;;;;;;;;;;;;;x 
egypt_levant_desc;Since the successful rebellion of the Zahiri, Egypt has become a beacon of light in the Arab World. With Al-Quds under our control and the European Powers acknowledging our power we can safely proclaim ourselves the Protector of the Arabs and expel the Turks from the Mashriq ! ;;;;;;;;;;;;;x 
cyrenaica_TUN_title;Hafsid Cyrenaica ;;;;;;;;;;;;;x 
cyrenaica_TUN_desc;We have successfully taken Cyrenaica from the Egyptian rebels. It is time to integrate it into our country.;;;;;;;;;;;;;x 
CRO1.T;Illyrian Brothers ?;;;;;;;;;;;;;x 
CRO1.D;The ongoing Ottoman Civil war present us with an interesting choice right now. We have asserted our independence from the Empire recently and we have become a beacon of hope for the Slav populations living under the Muslim yoke. A proposition was made recently to enter a war against the Empire to free Serbia before Hungary or another vulture takes the territory for itself. Or we could just wait for the Empire to be in an even worse situation and take the territory for ourselves ….;;;;;;;;;;;;;x 
CRO2.T;Liberation of Serbia;;;;;;;;;;;;;x 
CRO2.D;The Sultan has conceded us the vilayet of Serbia. We will now look carefully the actions of our Slavic brothers...;;;;;;;;;;;;;x 
CRO3.T;The end of the Personal Union;;;;;;;;;;;;;x 
CRO3.D;Serbia has been ruled by our king since its liberation near the end of the Ottoman Civil War but has enjoyed a relative autonomy in its internal affairs. The young king Tomislav II who was crowned recently has decided to bring this matter to its end and has reclaimed the unification of the crown of Tomislav and Stefan.;;;;;;;;;;;;;x 
CRO4.T;Illyrian Ultimatum;;;;;;;;;;;;;x
CRO4.D;The Illyrian king has issued a declaration in which he asks for a closer union of the Croats and the Serb. But can we really trust him ?;;;;;;;;;;;;;x
CRO5.T;The Union of the Croats and the Serbs;;;;;;;;;;;;;x
CRO5.D;Serbia is now an integral part of our nation and its people is supporting our rule !;;;;;;;;;;;;;x
CRO6.T;Serbian Rebellion;;;;;;;;;;;;;x
CRO6.D;Belgrade and the entire Serbian provinces have revolted and want to dethrone Tomislav II and put a Serb noble on the throne !;;;;;;;;;;;;;x
CRO7.T;Intervention in Montenegro ?;;;;;;;;;;;;;x
CRO7.D;Before the Civil War, Montenegro was divided in various principalites. The Metropolitan finally achieved unification around him and went on expelling the powerful Simic family which ruled Kotor. The heir to the war hero Peter Simic, Joseph Simic is an idealistic panslavist and he has many times confessed that his father wanted Montenegro to join the Illyian kingdom. We could let him act and enter Montenegro with followers to see if we could not force the Metropolitan to bow before us.;;;;;;;;;;;;;x
CRO8.T;The Simic rebellion;;;;;;;;;;;;;x
CRO8.D;The Illyrian have allowed the claimant to the dukedom of Montenegro, Jospeh Simic to sneak into Kotor where he actually tries to convince people to join our heretic neighbour. Should we take action against him, it is likely the Croat will advance into our country so we must try to find someone to back our independence.;;;;;;;;;;;;;x
CRO9.T;Simic suceeds !;;;;;;;;;;;;;x
CRO9.D;Our agent, the duke of Kotor has taken power in Montenegro and has asked to join our kingdom !;;;;;;;;;;;;;x
CRO10.T;Montenegrin embassy;;;;;;;;;;;;;x
CRO10.D;The Illyrians threaten the rule of the Metropolitan who has asked us to protect him. How should we react ?;;;;;;;;;;;;;x
CRO11.T;$FROMCOUNTRY$ supports Montenegro !;;;;;;;;;;;;;x
CRO11.D;The Metropolitan has been swift to act against Simic. He expelled him and has found an ally to protect him in case we decide to invade his country ...;;;;;;;;;;;;;x
CRO12.T;$FROMCOUNTRY$ threw away the Montenegro embassy !;;;;;;;;;;;;;x
CRO12.D;The Metropolitan tried to find someone to protect him after the expulsion of Simic but $FROMCOUNTRY$ refused to protect him. We can now easily override their defences and annex Montenegro into our glorious kingdom !;;;;;;;;;;;;;x
CRO13.T;The status of Belgrade;;;;;;;;;;;;;x
CRO13.D;During the Ottoman Civil War, Hungary attacked the Empire and took Belgrade while we were liberating Serbia. It has been a long time since their campaign of "protection" of the Serbs and we have a duty to ask them to give Belgrade to the crown of Stefan;;;;;;;;;;;;;x
CRO14.T;Illyrian Ultimatum;;;;;;;;;;;;;x
CRO14.D;The Illyian King has issued a declaration in which he demands us to relinquish the Serbian lands we captured during the Civil War. The Serbs have been restless around their old capital and holding unto them will harm relations with our allies.;;;;;;;;;;;;;x
CRO15.T;Hungarian refusal;;;;;;;;;;;;;x
CRO15.D;Hungary has refused to give back Belgrade to Serbia. It is our duty to fight and free Serbia from the horrid Magyar !;;;;;;;;;;;;;x
claim_the_desert_title;Claim the Sahara;;;;;;;;;;;;;x
claim_the_desert_desc;The Sahara is immense and empty and forms a perfect frontier for our nation. However we should claim it before other nations take control of it !;;;;;;;;;;;;;x
claim_the_west_desert_title;The Western Sahara;;;;;;;;;;;;;x
claim_the_west_desert_desc;With our control of Morocco complete we should claim the western Sahara lands before any imperialists try to take control of these lands !;;;;;;;;;;;;;x
claim_tripoli_title;Claim Tripolitania;;;;;;;;;;;;;x
claim_tripoli_desc;With Maghreb under our control, we have to take control of Tripolitania to protect our brothers from the Imperialists !;;;;;;;;;;;;;x
organize_mauretania_title;Organize Mauretania;;;;;;;;;;;;;x
organize_mauretania_desc;Now that the Magrebi tribes were defeated we should reorganize our Moroccan territories in a new colony. We must create the proper structures, so that it stands on par with our other national states.;;;;;;;;;;;;;x
organize_numidia_title;Organize Numidia;;;;;;;;;;;;;x
organize_numidia_desc;Now that the Magrebi tribes were defeated we should reorganize our Maghrebi territories in a new colony. We must create the proper structures, so that it stands on par with our other national states.;;;;;;;;;;;;;x
organize_libia_title;Organize Libya;;;;;;;;;;;;;x
organize_libia_desc;Now that we control Tripoli, we should reorganize our African territories in a new colony. We must create the proper structures, so that it stands on par with our other national states.;;;;;;;;;;;;;x
integrate_navarra_title;Unify with Navarra;;;;;;;;;;;;;x
integrate_navarra_desc;To really become the Iberian Union we have to integrate the lands of the Basque people into our country;;;;;;;;;;;;;x
integrate_catalans_title;Catalan acceptance;;;;;;;;;;;;;x
integrate_catalans_desc;The Catalans nay have refused the unification at first but our important status in Europe has made them rethink about their previous actions;;;;;;;;;;;;;x
treaty_of_waitangiDVG_title;Treaty of Waitangi;;;;;;;;;;;;;x
treaty_of_waitangiDVG_desc;With our control over the Southern Island complete, we can now force the Maori to sign an unequal treaty with us;;;;;;;;;;;;;x
marching_apache_title;The Expulsion of the Mexicanos;;;;;;;;;;;;;x
marching_apache_desc;Competition between Mexico and Nova Lisboa was fierce for the colonization of the territories north of Lusitania. Ultimately most of the settlers came from Mexico and now that Lusitania is independent they could prove to be a fifth column in the case of a war against their Southern neighbour. Thus it has been proposed to relocate them in Tejas and Santa Catarina amongst the local Castillian-speaking community where they could be better controlled.;;;;;;;;;;;;;x
act_of_union_title;The new act of Union;;;;;;;;;;;;;x
act_of_union_desc;The Commonwealth has experienced a severe decay in the last century. Problems with the Sejm, foreign intervention and weakness of the government led to a near break-up of the Union. But now we have reasserted our status in the European Concert and rid ourselves from foreign intervention, we can centralize the state in Warsaw and retake our place in Eastern Europe !;;;;;;;;;;;;;x
baltic_cultures_title;The Baltic peoples;;;;;;;;;;;;;x
baltic_cultures_desc;The Livonians and Estonian people never truly enjoyed independence, being contested between the Commonwealth and Scandinavia. But in contrary to the Scandinavians, we have a tradition of accepting the local cultures and integrate in our state ! Long live the Polish rule of Livonia !;;;;;;;;;;;;;x 
treaty_hadiach_title;Treaty of Hadiach;;;;;;;;;;;;;x
treaty_hadiach_desc;The Ruthenians constitute the most important ethnic group in the Commonwealth behind the Polish. Over the centuries, we have tried to integrate in our fabric, granting some of their nobles rights in the Sejm, encouraging the Uniate Church in spreading catholiscism. Now a new proposition has emerged to transform our state into a Polish-Lithuanian-Ruthenian Commonwealth but it needs the approval of the Ruthenian leaders;;;;;;;;;;;;;x
treaty_hadiach_2_title;The Treaty of Kiev;;;;;;;;;;;;;x
treaty_hadiach_2_desc;Despite the failure of the Hadiach Treaty, our resilience and our power has allowed to win over the hearts of the majority of the Ruthenian people. We can now enact a new treaty to make them an integral part of our state !;;;;;;;;;;;;;x
lithuanian_port_title;The Lithuanian port;;;;;;;;;;;;;x
lithuanian_port_desc;With Eastern Prussia in our hands we can easily now ask the Lithuanian magnates to cede us the last non Nordic port of the Baltic.;;;;;;;;;;;;;x
meddle_with_cossacks_title;Negotiating with the Cossacks;;;;;;;;;;;;;x
meddle_with_cossacks_desc;The Cossacks control large swaths of lands in the Commonwealth and obey only on paper to the orders of Warsaw. We can use our influence to take the whole Dniepr eastern bank and grow closer to the West and Kiev, the old capital of the Rus';;;;;;;;;;;;;x
nordtyskland_title;Nordtyskland;;;;;;;;;;;;;x
nordtyskland_desc;Despite all their attempts, the Bohemians could not stop our ambition. We control much of Northern Germany and it is our duty to help the Elbian people and accept them into our Union. Let us proclaim them brothers of the Scandinavians and use them to strenghten our state !;;;;;;;;;;;;;x
annex_russian_lands_RUT_title;Russian lands;;;;;;;;;;;;;x
annex_russian_lands_RUT_desc;The Ruthenian part of the Commonwealth holds rightful Russian territories. We can use our influence to "ask" them to relinquish them to our control;;;;;;;;;;;;;x
deluge_title;End of the Commonwealth;;;;;;;;;;;;;x
deluge_desc;No matter how much we weaken it, the Commonwealth is still a force to be reckoned in Eastern Europe and they won't abandon their Baltic ambitions should the balance of power change. It is in our interest to completely break it by supporting the various nationalist movements and break one opponent to our hegemony;;;;;;;;;;;;;x
POL1.T;Ruthenian decision;;;;;;;;;;;;;x
POL1.D;The Ruthenian representatives have assembled to discuss the treaty.;;;;;;;;;;;;;x
POL2.T;Ruthenian acceptance;;;;;;;;;;;;;x
POL2.D;The Ruthenians leaders have signed the treaty, making Ruthenia an integral part of the Commonwealth !;;;;;;;;;;;;;x
POL3.T;Ruthenian refusal;;;;;;;;;;;;;x
POL3.D;The Ruthenians leaders have refused to sign the treaty and are talking of secession !;;;;;;;;;;;;;x
POL4.T;Scandinavian demands;;;;;;;;;;;;;x
POL4.D;The Nordic have demanded the cession of Palanga ...;;;;;;;;;;;;;x
POL5.T;Russian demands;;;;;;;;;;;;;x
POL5.D;The Russians ask us to cede the region of Polotsk;;;;;;;;;;;;;x
POL6.T;Potop !;;;;;;;;;;;;;x
POL6.D;The Scandinavians have encouraged secession movements. The Commonwealth is dead !;;;;;;;;;;;;;x
POL10.T;Dissolution of the Commonwealth;;;;;;;;;;;;;x
POL10.D;The incapacity of the Commonwealth to reform has provoked the rise of nationalist movements. Already Lithuanian, Cossacks and Ruthenians have formed their own government. The Commonwealth is dead !;;;;;;;;;;;;;x
rename_laofeng_title;Renaming Laofeng;;;;;;;;;;;;;x
rename_laofeng_desc;The territories of Dine Bikeyah were first explored by the Dong-guo city states that called the area Laofeng. But now we control the area, we can erase these Chinese names from the maps and call these lands as the Lusitanians always did : Rio Vermelho;;;;;;;;;;;;;x
restore_laofeng_title;Restore Laofeng;;;;;;;;;;;;;x
restore_laofeng_desc;The Colombians renamed lands that our ancestors had discovered first. Now that we control the area, we can force the other powers to use the real name of this region : Laofeng;;;;;;;;;;;;;x
VAL20.T;The capital of Transalpina;;;;;;;;;;;;;x
VAL20.D;We have established a new union on the continent, one that unifies both our claims on France and Italy. But now arises the question of where should we rule ? The revanchist elements of our royal family want to install ourselves into Paris, the old capital of the Capetians. Others want to retain the Eternal City as our siege of government. But perhaps we could go back to Toulon to establish a compromise between the various factions of the Federation ?;;;;;;;;;;;;;x 
integrate_bretons_title;Integrate Bretons;;;;;;;;;;;;;x
integrate_bretons_desc;While Bretons were not an integral part of the Capetian kingdom we have expelled the usurpers from this land nonetheless. We have a tradition of multiculturalism so it's normal to accept them too;;;;;;;;;;;;;x
renew_war_DUA_title;Challenge the Usurpers;;;;;;;;;;;;;x
renew_war_DUA_desc;Occitania is under our complete control. The dream of expelling the Plantagenets from our homeland is closer than ever. Let us retake the lands of France and be recognized as the true kings OF France. Montjoie St-Denis !;;;;;;;;;;;;;x
france_italy_title;Creation of the Dual-Monarchy;;;;;;;;;;;;;x
france_italy_desc;The kingdom of France has been reclaimed. However we can't present us as the sole king of Italy or we will face unrest from the population. We can establish a Dual-Monarchy like the Plantagenets, ruling both French and Italians. Long live Transalpina.;;;;;;;;;;;;;x 
treaty_of_paris_title;Treaty of Paris;;;;;;;;;;;;;x 
treaty_of_paris_desc;Our control of France is complete. We can now force the usurpers to come to negotiations and cede all the territories of the mainland to the rightful King of France.;;;;;;;;;;;;;x 
rohnst_decision_title;Integration of the Rohnst;;;;;;;;;;;;;x 
rohnst_decision_desc;Our policy of integrating the native peoples of Arcadia in our state must extend to the Rohnst who are closer to us than most of the other tribes !;;;;;;;;;;;;;x 
iroquois_decision_desc;The Iroquois people are numberous in the Great Lakes region. We have had a mxied relationship with the old Confederation but with steps taken to integrate the tribes into our social fabric we can make them accept our rule;;;;;;;;;;;;;;x
iroquois_decision_title;Integration of the Iroquois;;;;;;;;;;;;;x 
algonquin_decision_desc;The Algonquin tribes are the second largest native people in Vinland behind the Iroquois. Despite being organized in small tribes, they have acquired a common conscience over the years because of the colonization of their lands. With our policy towards the natives hinted at collaboration we can negotiate with them to make them full Vinlandic citizens;;;;;;;;;;;;;;x
algonquin_decision_title;Integration of the Algonquin;;;;;;;;;;;;;x 
sioux_decision_desc;The Great Plains of Arcadia are inhabited by the Sioux people, divided between the Nakota, Lakota and Dakota tribes. Their territory is challenged by many different states and we could enforce our claims by making the Sioux full citizens of our country.;;;;;;;;;;;;;x 
sioux_decision_title;The Tribes from the Plains;;;;;;;;;;;;;x 
cherokee_decision_title;Integration of the Cherokee;;;;;;;;;;;;;x 
cherokee_decision_desc;The Cherokee, or Tsalagi in their own language, are the Native people with whom the Dual-Monarchy had the most contacts. The Kingdom of Plantagenia ended their independence but the Cherokee never forgot their very culture. Proposals have emerged in Nouvelle-Orleans to make a special Cherokee act that would grant full citizenship to the tribes from the Montagnes Enfumees.;;;;;;;;;;;;;x 
apache_decision_title;Integration of the Apache;;;;;;;;;;;;;x 
apache_decision_desc;Spanish colonization of Ameriga and Southern Arcadia integrated the Native elites in the colonial system granting nobility title to the most Hispanicized. But in the northern parts of Lusitania, the city social system did not exist and many encroachements between Lusitanian and Apache tribes erupted. With our control over the numerous Apache territories complete we can grant them citizenship and let them administrate thier territories in our name;;;;;;;;;;;;;x 
pueblo_decision_title;Integration of the Cunmin;;;;;;;;;;;;;x 
pueblo_decision_desc;The Cunmin tribes were the prime trade partners of the early Dong Guo city states and differentiated themselves from the many other Native tribes the Chinese settlers met by living in villages hence their name which mean "Villagers", more commonly known as Pueblo because of Spanish conquistadors. As the Federation expands east it controls more and more of their territory and some of the politicians of Sanbao have suggested that we should grant them full citizenship to strenghten our rule on the Wild East.;;;;;;;;;;;;;x  
SAF17.T;Future of Batavia;;;;;;;;;;;;;x 
SAF17.D;Leuwin under the rule of the Governor-Militant Aloysuis van Afrika has united the three old Boer Republics in one state that controls nearly all of South Africa. Many wonder what will Aloysuis do ?;;;;;;;;;;;;;x 
odensmark_title;The Great White North;;;;;;;;;;;;;x 
odensmark_desc;With our position secured in Northern Arcadia we can occupy the lands we claim in the West !;;;;;;;;;;;;;x  
AFG_punjab_title;The gate of India;;;;;;;;;;;;;x 
AFG_punjab_desc;The conquest of Punjab was fierce but the lack of leadership amongst the Panjabis after the death of Ranjit Singh allowed us to take control of many territories along the Indus. However the occupation is harsh and expensive with the Panjabis more numerous that all the Afghan tribes... But if we can take all of Punjab, maybe a new path could emerge for the Sadozai, and maybe they could enter the Indian game ....;;;;;;;;;;;;;x 
PNJ_revolt.T;Punjab in open revolt !;;;;;;;;;;;;;x 
PNJ_revolt.D;The Panjabis have revolted against our rule and rallied around the late son of Rajit Singh, Dhulip Singh who has entered Lahore in triumph ! We have to act swiftly or our Indian ambitions will end there !;;;;;;;;;;;;;x 
ENL_recognized_title;English independence;;;;;;;;;;;;;x 
ENL_recognized_desc;With an independent English government established, the Dual-Monarchy is forced to stop claiming the lands in their possession;;;;;;;;;;;;;x 
ENL_claim_title;Reclaim England !;;;;;;;;;;;;;x 
ENL_claim_desc;The existence of an independent English state is a very insult to our Unity ! Let us reclaim what is rightfully ours now that the English aren't able to act on the international stage !;;;;;;;;;;;;;x 
OCC_recognized_title;Occitan independence;;;;;;;;;;;;;x 
OCC_recognized_desc;With an independent Occitan government established, the Dual-Monarchy is forced to stop claiming the lands in their possession;;;;;;;;;;;;;x 
IRE_recognized_title;Irish independence;;;;;;;;;;;;;x 
IRE_recognized_desc;With an independent Irish government controlling the Emerald Island the Dual-Monarchy will be forced to stop claiming Eire!;;;;;;;;;;;;;x 
IRE_claim_title;Reclaim Ireland;;;;;;;;;;;;;x 
IRE_claim_desc;Ireland was lost but with our power firmly established in the islands we can easily reclaim what was once ours.;;;;;;;;;;;;;x 
OCC_claim_title;Reclaim Occitania !;;;;;;;;;;;;;x 
OCC_claim_desc;The existence of an independent Occitan state is a very insult to our Unity ! Let us reclaim what is rightfully ours now that the Occitan aren't able to act on the international stage !;;;;;;;;;;;;;x 
SCO_recognized_title;Scottish independence;;;;;;;;;;;;;x 
SCO_recognized_desc;With an independent Scottish government controlling both the Highlands and the Lowlands Scandinavia will be forced to stop claiming the home of the Stewarts!;;;;;;;;;;;;;x 
SCO_claim_title;Reclaim Scotland;;;;;;;;;;;;;x 
SCO_claim_desc;Scotland was lost but with our power firmly established in the Baltic we can easily reclaim what was once ours.;;;;;;;;;;;;;x 
pas_de_calais_title;Le Pas de Calais;;;;;;;;;;;;;x 
pas_de_calais_desc;Calais and the surrounding plains of Picardie were important places during the Hundred Years War. Sadly this territory was lost with Calais being surrendered to the Burgundian king during the Anglo-French wars of Religion. But with our troops having recaptured the closest land to England we could make the International Concert recognize our claim !;;;;;;;;;;;;;x 
puppet_Manchuria_title;Organizing Manchukuo;;;;;;;;;;;;;x 
puppet_Manchuria_desc;Our expansion has given us the rich lands of Manchuria. Their goods will be very important for our industry but the numerous local population could resist us. Let us establish a puppet state under the rule of a Manchu prince which will allow us to better control the local population.;;;;;;;;;;;;;x  
EVTNAME21520;Sanbao Earthquake!;;;;;;;;;;;;;x 
EVTDESC21520;A major earthquake has struck Sanbao, Qingqiu, today, causing widespread devastation and the loss of thousands of lives. Tremors have been reported as far away inland as Yicheng, and the fire that erupted as a result of the earthquake has left the city more or less leveled. Army units are hard at work bringing in supplies to the survivors, and we can rest assured that the quake will leave its mark on public memory for generations to come.;;;;;;;;;;;;;x 
organize_yakutia_title;Organizing Yakutia;;;;;;;;;;;;;x 
organize_yakutia_desc;The frozen Seihoku lands would be interesting to exploit but the lack of population and the unwilligness from our citizens to move there does not allow us to benefit fully from it, worse, these lands cost us much. We could create another Co-prosperity sphere member by 'civilizing' the Yakut tribes and then grant us sovereignity over all the inland Seihoku lands we possess.;;;;;;;;;;;;;x 
Kita1.T;The Kaiganese Independence Committee;;;;;;;;;;;;;x  
Kita1.D;With the Japanese Empire controlling the frozen lands of Kita Kaigan many of our politicians are afraid of Kyoto using their bases there to threaten our Republic. Some in our government have proposed that we help the Kaiganese Independence Comitee. This terrorist organisation has been created by the Kaiganese who are the descendants of Korean and Japanese liberals who fled Asia for what they considered a forgotten haven. But the Empire has strengthened its rule over its colony and they have decided to act to obtain an independent Kaiganese Republic. We could fund these revolutionaries but by doing so, we would compromise our relations with Kyoto ...;;;;;;;;;;;;;x    
Kita2.T;Problems from Sanbao;;;;;;;;;;;;;x  
Kita2.D;Qingqui seems to have helped Kaiganese terrorists, giving them weapons and funds. We have to watch carefully the area and it may be time to take action against the Dong Guo Federation;;;;;;;;;;;;;x  
Kita3.T;The Kaiganese Revolt !;;;;;;;;;;;;;x  
Kita3.D;The Kaiganese have used funds from Sanbao to revolt!;;;;;;;;;;;;;x  
Kita4.T;The Kaiganese envoy;;;;;;;;;;;;;x   
Kita4.D;The Kaiganese have revolted and ask us to help them in their revolutionary war!;;;;;;;;;;;;;x   
Kita5.T;End of the preparations;;;;;;;;;;;;;x  
Kita5.D;The Japanese armies are already en route to destroy the pitiful Kaiganese republic!;;;;;;;;;;;;;x  
Kita6.T;A ship from Kenai;;;;;;;;;;;;;x 
Kita6.D;Yesterday a ship from our colony of Kita Kaigan on the other side of the Ocean has arrived in Chiba. They carry a message brought by the 'Council of Kenai', a group that apparently assembled to decide the status of the region. Kaiganese are descendants of Korean and Japanese liberals that escaped in Arcadia to escape our control so we must be prepared for everything...;;;;;;;;;;;;;x  
Kita7.T;Loyalist Kaigan;;;;;;;;;;;;;x  
Kita7.D;Despite our defeat in the Korean War, the Kaiganese still want to be part of our country !;;;;;;;;;;;;;x  
Kita8.T;Dominion in Arcadia ?;;;;;;;;;;;;;x  
Kita8.D;The Kaiganese have asked to grant them autonomy in their internal affairs, a sad thing we should consider to grant if we don't want another war ...;;;;;;;;;;;;;x  
Kita9.T;Declaration of Independence !;;;;;;;;;;;;;x  
Kita9.D;The Kaiganese have declared independence and have driven out the few Japanese officials that settled there. The war could be costly and Kita Kaigan is moslty empty frozen lands ...;;;;;;;;;;;;;x  
DUA100.T;The United Republic;;;;;;;;;;;;;x  
DUA100.D;The removal from the monarchy has provoked instability in the former Crown lands. Many English representatives want the different parts of the 'Angevin Empire' to live their own fate although less radical speakers only want autonomy. Will the Anglois Dream endure in the whole United Republic.;;;;;;;;;;;;;x  
DUA101.T;The Republic is united !;;;;;;;;;;;;;x 
DUA101.D;The United Republic has gained acceptance of all the peoples leaving in the former Crown lands, an achievement the Plantagenets could not get with their methods !;;;;;;;;;;;;;x 
DUA102.T;The Irish and English dominions;;;;;;;;;;;;;x 
DUA102.D;The United Republic is forced to grant autonomy to the English and Irish people. It still retains the greater part of Britain where the Anglois and Welsh are dominant.;;;;;;;;;;;;;x 
DUA103.T;End of the United Republic;;;;;;;;;;;;;x
DUA103.D;The representatives from the British islands have completely refused to continue to live in the same state. The United Republic only rules continental lands and represent only 'France'.;;;;;;;;;;;;;x
DUA104.T;End of the united Republic;;;;;;;;;;;;;x
DUA104.D;The existence of an English state has led to the dismantlement of the United Republic. Long live the French Republic !;;;;;;;;;;;;;x
DUA110.T;The United Republic;;;;;;;;;;;;;x  
DUA110.D;The end of the Dual-Monarchy has led to the call of a council to know the future that awaits the heirs of the Angevin legacy ....;;;;;;;;;;;;;x  
DUA111.T;The United Republic prevails !;;;;;;;;;;;;;x  
DUA111.D;Despite the threat of nationalism the people of the former Dual-Monarchy stand united !;;;;;;;;;;;;;x  
DUA112.D;With the politics slightly focused on Britain, the capital has been move to London. The Anglois lands will still be under our control but the French and Occitan lands will be put under the supervizion of sister republics.;;;;;;;;;;;;;x  
DUA112.T;The French and Occitan Republics;;;;;;;;;;;;;x  
DUA113.T;Dissolution of the United Republic;;;;;;;;;;;;;x  
DUA113.D;The Congress has ended and with it the legacy of the old monarchy. The old government has relocated to London, retaining the British islands, while the continental lands were divided between the new French and Occitan Republics...;;;;;;;;;;;;;x  
DUA114.T;Dissolution of the United Republic;;;;;;;;;;;;;x  
DUA114.D;The continental lands have been abandoned to the French and Occitan republics. Long live the English Republic !;;;;;;;;;;;;;x 
DUA120.T;The Congress of Paris;;;;;;;;;;;;;x   
